Owner_id;id;High_value;Low_value;class_Description;sensor_Description
5114;272544;1285;171;OG0446 CAV-R-5a;Actual Air Flow OG0446
5117;272649;0;0;OG018B CAV-R-4;Actual Air Flow OG018B
5118;272684;225;30;OG12B1 CAV-R-5b;Actual Air Flow OG12B1
5224;597334;368;49;0.014 (B3.03a) Praktijkruimte;MeasAirflow 0.014 (B3.03a) Praktijkruimte
5249;285540;1418;189;OG0454 VAV-R-2;Actual Air Flow OG0454
5312;287836;183;24;OG1235 0.052;Actual Air Flow OG1235
5318;289594;63;8;OG125D ODK 0.051;Actual Air Flow OG125D
5328;290096;982;131;OG11F7 ODK 0.052;Actual Air Flow OG11F7
5343;597487;1975;263;0.136 (C03) Zaal;MeasAirflow 0.136 (C03) Zaal
5344;597640;2484;331;0.126 (C04) Zaal groot;MeasAirflow 0.126 (C04) Zaal groot
5365;291941;39;5;OG1290 0.087;Actual Air Flow OG1290
5480;332774;64;8;0.051 (A1.04a) Praktijkruimte;MeasAirflow 0.051 (A1.04a) Praktijkruimte
5487;362542;;;0.106 (F01) Toilet dames Begane grond Zuid;MeasAirflow F01 Toilet dames Begane grond Zuid
5622;327752;126;16;OG122A ODK 0.109;Actual Air Flow OG122A
5624;327822;139;18;OG1230 0.109;Actual Air Flow OG1230
5635;328318;118;15;OG11FF VAV-R Keuken Nova;Actual Air Flow OG11FF
5636;328355;1238;165;OG124E VAV6 Societeit;Actual Air Flow OG124E
5684;330616;21;2;OG122D ODK 2.109;ActualAirFlow OG122D
5687;330723;733;97;OG0451 VAV-R-4;ActualAirFlow OG0451
5702;333453;2141;285;OG017F VAV-R-8;ActualAirFlow OG017F
5705;333562;2122;282;OG0419 VAV9 bg;ActualAirFlow OG0419
5723;334723;752;100;OG1271 VAV keuken NOVA;ActualAirFlow OG1271
5873;347939;17;2;OG1252 ODK 0.118;ActualAirFlow OG1252
5877;348224;128;17;OG1232 VAV-R-13;ActualAirFlow OG1232
5879;348410;22;3;OG012F ODK 0.112;ActualAirFlow OG012F
5886;348871;13;1;OG1275 ODK 0.114;ActualAirFlow OG1275
5897;353764;330;44;OG1276 VAV14 bg;ActualAirFlow OG1276
5898;353787;;;OG126D;ActualAirFlow OG126D
5914;350266;0;0;OG1295 VAV Opslag/klus NOVA;ActualAirFlow OG1295
